Team,Conf,Vegas,538,DARKO,Preseason-Only,EPM,LEBRON
BKN,East,56,50,53,55,55.6,46.5
MIL,East,55,56,56,53,54.7,59.7
UTA,West,52.5,54,50,53,54.8,52.9
LAL,West,52.5,42,46,45,48,51.2
PHX,West,52,53,54,54,49.4,48.7
PHI,East,50,53,56,49,48.8,48.2
DAL,West,48,49,49,53,48.7,45.7
DEN,West,48,50,46,46,43.3,44.1
MIA,East,48.5,44,43,49,40.7,47.6
GSW,West,48.5,36,42,48,40.9,39.1
ATL,East,47.5,51,46,49,48.2,49.7
BOS,East,46,49,46,43,46.2,45.9
POR,West,44.5,48,50,36,45.8,47
LAC,West,45,48,45,40,42.1,44
IND,East,43,44,43,42,42.8,44.4
CHI,East,43,38,39,49,40.7,41
NYK,East,42,43,41,44,47.1,38.9
MEM,West,42,43,43,45,41.1,47
NOP,West,39.5,47,37,37,39.8,43.4
CHA,East,38,34,34,32,33,31.9
TOR,East,35.5,41,37,37,40.5,39.3
SAC,West,36,32,37,38,37.1,35.9
MIN,West,35.5,40,42,37,41,39.3
WAS,East,33,38,39,32,41.7,38
SAS,West,29,36,33,33,32.2,34.2
CLE,East,26,25,29,29,27.1,28.8
DET,East,25,24,29,27,26.4,27.8
HOU,West,27,20,23,26,30.4,25.6
OKC,West,23,19,21,23,18.2,23.2
ORL,East,22.5,24,21,25,23.5,23.5
